"pattern","path","line","text"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","71","""✅ Audio duration ffprobe bug is FIXED and working correctly"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","73","""✅ Detects ffprobe anomalies and logs warnings"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","74","""⚠️ New issue discovered: Kokoro generates insufficient audio (2.32s vs 28s requested)"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","75","""ℹ️ This Kokoro issue is separate from the ffprobe fix and requires different solution"""
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\AUDIO_DURATION_FIX_REPORT.json","75","""ℹ️ This Kokoro issue is separate from the ffprobe fix and requires different solution"""
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\audit-render-failure.js","5","const ffprobePath = require('@ffprobe-installer/ffprobe').path;"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\audit-render-failure.js","73","// 2c. ffprobe - streams"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\audit-render-failure.js","74","console.log(`\n   ffprobe validation:\n`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\audit-render-failure.js","132","console.log(`      Problema: FFmpeg puede no inicializar video stream`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-detection-improved.json","17","""method"": ""FFmpeg histogram en 30% inferior de frame"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-guard-final.json","25","""1. renderer genera vídeo con FFmpeg subtitles="","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-render-validated.json","9","""logic"": ""Detect si assFilePath existe → Si sí: aplica FFmpeg subtitles filter"","
